0.000000000000000000e+00,3.000000000000000000e+02,3.244754434315989897e+02
1.000000000000000056e-01,2.500000000000000000e+02,3.147264657505677974e+02
2.000000000000000111e-01,2.500000000000000000e+02,3.067814162450597451e+02
3.000000000000000444e-01,2.500000000000000000e+02,3.006313507299373669e+02
4.000000000000000222e-01,2.591376364402951822e+02,2.976397220188347887e+02
5.000000000000000000e-01,2.741439817481523278e+02,2.981223630383240106e+02
6.000000000000000888e-01,2.728645933764790357e+02,2.982541129151201176e+02
7.000000000000000666e-01,2.731387795548342865e+02,2.984047683409679621e+02
8.000000000000000444e-01,2.732495193157702715e+02,2.985398113601895602e+02
9.000000000000000222e-01,2.733640844296400019e+02,2.986637243493810843e+02
1.000000000000000000e+00,2.734674044288980781e+02,2.987771336458844189e+02
1.100000000000000089e+00,2.735618967570867426e+02,2.988809497383405187e+02
1.200000000000000178e+00,2.736482066079624929e+02,2.989759756671754758e+02
1.300000000000000044e+00,2.737270693735526379e+02,2.990629511097670274e+02
1.400000000000000133e+00,2.737991391183693395e+02,2.991425540779155199e+02
1.500000000000000000e+00,2.738650119125475157e+02,2.992154062226226756e+02
1.600000000000000089e+00,2.739252298274657846e+02,2.992820773742527649e+02
1.700000000000000178e+00,2.739802861668670744e+02,2.993430897657925129e+02
1.800000000000000044e+00,2.740306300264250012e+02,2.993989219240728517e+02
1.900000000000000133e+00,2.740766704194869590e+02,2.994500122562589581e+02
2.000000000000000000e+00,2.741187799969478647e+02,2.994967623532947982e+02
2.100000000000000089e+00,2.741572984041979453e+02,2.995395400310150080e+02
2.200000000000000178e+00,2.741925353121110334e+02,2.995786821283180643e+02
2.300000000000000266e+00,2.742247731553273411e+02,2.996144970805613639e+02
2.400000000000000355e+00,2.742542696075987578e+02,2.996472673423103856e+02
2.500000000000000000e+00,2.742812595280549317e+02,2.996772514938547260e+02
2.600000000000000089e+00,2.743059573028066325e+02,2.997046861607921642e+02
2.700000000000000178e+00,2.743285590793552728e+02,2.997297879475211744e+02
2.800000000000000266e+00,2.743492439594357393e+02,2.997527551096235925e+02
2.900000000000000355e+00,2.743681755521224659e+02,2.997737690975131954e+02
3.000000000000000000e+00,2.743855033410530382e+02,2.997929959715365271e+02
3.100000000000000089e+00,2.744013639298871112e+02,2.998105876997321957e+02
3.200000000000000178e+00,2.744158821735717879e+02,2.998266833475738622e+02
3.300000000000000266e+00,2.744291722069574462e+02,2.998414101684371644e+02
3.400000000000000355e+00,2.744413383805891158e+02,2.998548846029257788e+02
3.500000000000000000e+00,2.744524761121809888e+02,2.998672131943756085e+02
3.600000000000000089e+00,2.744626726623509967e+02,2.998784934276590093e+02
3.700000000000000178e+00,2.744720078405013055e+02,2.998888144972249847e+02
3.800000000000000266e+00,2.744805546492070221e+02,2.998982580106967930e+02
3.900000000000000355e+00,2.744883798704997844e+02,2.999068986328800861e+02
4.000000000000000000e+00,2.744955446017590930e+02,2.999148046755992141e+02
4.100000000000000533e+00,2.745021047435794799e+02,2.999220386375386624e+02
4.200000000000000178e+00,2.745081114455991269e+02,2.999286576983560053e+02
4.299999999999999822e+00,2.745136115137047454e+02,2.999347141666087850e+02
4.400000000000000355e+00,2.745186478040731686e+02,2.999402558904173475e+02
4.500000000000000000e+00,2.745232595816887056e+02,2.999453266618421594e+02
4.600000000000000533e+00,2.745274827034776308e+02,2.999499665445310939e+02
4.700000000000000178e+00,2.745313499901081400e+02,2.999542121914921040e+02
4.800000000000000711e+00,2.745348914827562794e+02,2.999580971354471899e+02
4.900000000000000355e+00,2.745381346797030915e+02,2.999616520545252456e+02
5.000000000000000000e+00,2.745411047524970058e+02,2.999649050153525991e+02
5.100000000000000533e+00,2.745438247435995436e+02,2.999678816954802301e+02
5.200000000000000178e+00,2.745463157470070428e+02,2.999706055868400654e+02
5.300000000000000711e+00,2.745485970736233412e+02,2.999730981818858595e+02
5.400000000000000355e+00,2.745506864024918627e+02,2.999753791439003976e+02
